tournament_year,stage,player_1name,player_2name,player_1score,player_2score
1994,QUARTER-FINALS,Butler L.,Kirby T.,2.0,3.0
1994,QUARTER-FINALS,Gardner R.,Lazarenko C.,3.0,1.0
1994,QUARTER-FINALS,Harvey J.,Watkins J.,2.0,3.0
1994,QUARTER-FINALS,Kelly D.,Verrier G.,0.0,3.0
1994,QUARTER-FINALS,Stoddart G.,Wilson J.,3.0,1.0
1994,QUARTER-FINALS,Anderson B.,Verrier G.,3.0,0.0
1994,QUARTER-FINALS,Evison P.,Umberger J.,3.0,0.0
1994,QUARTER-FINALS,Harrington R.,Bristow E.,3.0,1.0
1994,QUARTER-FINALS,Lowe J.,Kirby T.,3.0,2.0
1994,QUARTER-FINALS,Priestley D.,Wilson J.,3.0,2.0
1994,QUARTER-FINALS,Spiolek K.,Deller K.,3.0,1.0
1994,QUARTER-FINALS,Taylor P.,Harvey J.,3.0,0.0
1994,QUARTER-FINALS,Warriner-Little A.,Gardner R.,3.0,1.0
